id,doc_quality,completeness,face_score,doc_score,liveness_score,risk,created_at
135,Good,0.88,0.44,0.36,0.41,High,2026-03-26T15:45:31.346875
136,Poor,0.46,0.2,0.24,0.9,High,2026-03-26T15:45:31.346878
137,Poor,0.67,0.17,0.19,0.97,High,2026-03-26T15:45:31.346880
138,Good,0.54,0.45,0.54,0.53,High,2026-03-26T15:45:31.346883
139,Good,0.65,0.57,0.52,0.6,High,2026-03-26T15:45:31.346885
140,Good,0.68,0.88,0.53,0.6,Medium,2026-03-26T15:45:31.346888
141,Poor,0.92,0.25,0.33,0.44,High,2026-03-26T15:45:31.346891
142,Good,0.75,0.6,0.3,0.74,High,2026-03-26T15:45:31.346893
143,Good,0.63,0.63,0.69,0.92,Medium,2026-03-26T15:45:31.346896
144,Good,0.55,0.79,0.3,0.88,Medium,2026-03-26T15:45:31.346898
145,Poor,0.61,0.35,0.14,0.48,High,2026-03-26T15:45:31.346901
146,Good,0.99,0.62,0.72,0.88,Medium,2026-03-26T15:45:31.346903
147,Good,0.66,0.82,0.79,0.86,Medium,2026-03-26T15:45:31.346906
148,Good,0.72,0.77,0.64,0.73,Medium,2026-03-26T15:45:31.346909
149,Good,0.76,0.89,0.82,0.49,Medium,2026-03-26T15:45:31.346911
150,Good,0.5,0.82,0.52,0.74,Medium,2026-03-26T15:45:31.346914
151,Good,0.56,0.81,0.69,0.56,Medium,2026-03-26T15:45:31.346916
152,Good,0.98,0.54,0.67,0.9,Medium,2026-03-26T15:45:31.346919
153,Good,0.97,0.79,0.41,0.98,Medium,2026-03-26T15:45:31.346921
154,Good,0.58,0.82,0.46,0.9,Medium,2026-03-26T15:45:31.346924
155,Good,0.76,0.69,0.3,0.74,High,2026-03-26T15:45:31.346927
156,Good,0.59,0.54,0.71,0.54,High,2026-03-26T15:45:31.346929
157,Poor,0.58,0.24,0.27,0.6,High,2026-03-26T15:45:31.346932
158,Poor,0.6,0.18,0.28,0.88,High,2026-03-26T15:45:31.346934
159,Good,0.91,0.77,0.62,0.57,Medium,2026-03-26T15:45:31.346937
160,Poor,0.85,0.31,0.31,0.46,High,2026-03-26T15:45:31.346939
161,Good,0.48,0.53,0.29,0.98,High,2026-03-26T15:45:31.346942
162,Poor,0.47,0.25,0.19,0.84,High,2026-03-26T15:45:31.346945
163,Poor,0.76,0.33,0.35,0.94,High,2026-03-26T15:45:31.346947
164,Good,0.93,0.42,0.33,0.97,High,2026-03-26T15:45:31.346951
165,Good,0.52,0.77,0.83,0.41,Medium,2026-03-26T15:45:31.346954
166,Good,0.98,0.82,0.61,0.4,Medium,2026-03-26T15:45:31.346956
167,Good,0.98,0.76,0.78,0.81,Medium,2026-03-26T15:45:31.346959
168,Poor,0.72,0.32,0.32,0.57,High,2026-03-26T15:45:31.346962
169,Poor,0.46,0.34,0.19,0.4,High,2026-03-26T15:45:31.346964
170,Good,0.76,0.87,0.66,0.93,Medium,2026-03-26T15:45:31.346967
171,Poor,0.8,0.29,0.26,0.59,High,2026-03-26T15:45:31.346969
172,Poor,0.4,0.22,0.34,0.62,High,2026-03-26T15:45:31.346972
173,Good,0.44,0.56,0.5,0.46,High,2026-03-26T15:45:31.346974
174,Good,0.65,0.71,0.58,0.58,Medium,2026-03-26T15:45:31.346977
175,Good,0.65,0.79,0.56,0.61,Medium,2026-03-26T15:45:31.346980
176,Poor,0.83,0.21,0.28,0.78,High,2026-03-26T15:45:31.346982
177,Poor,0.64,0.2,0.26,0.92,High,2026-03-26T15:45:31.346985
178,Good,0.73,0.72,0.68,0.85,Medium,2026-03-26T15:45:31.346987
179,Poor,0.85,0.23,0.27,0.48,High,2026-03-26T15:45:31.346990
180,Good,0.65,0.48,0.74,0.78,Medium,2026-03-26T15:45:31.346992
181,Good,0.49,0.63,0.47,0.82,Medium,2026-03-26T15:45:31.346995
182,Good,0.59,0.58,0.65,0.93,Medium,2026-03-26T15:45:31.346997
183,Poor,0.8,0.35,0.39,0.49,High,2026-03-26T15:45:31.347000
184,Poor,0.41,0.33,0.14,0.51,High,2026-03-26T15:45:31.347003
185,Good,0.73,0.55,0.53,0.63,High,2026-03-26T15:45:31.347005
186,Good,0.99,0.79,0.41,0.49,High,2026-03-26T15:45:31.347008
187,Good,0.82,0.53,0.54,0.57,High,2026-03-26T15:45:31.347012
188,Good,0.82,0.43,0.51,0.81,High,2026-03-26T15:45:31.347014
189,Good,0.49,0.85,0.75,0.65,Medium,2026-03-26T15:45:31.347017
190,Good,0.44,0.88,0.41,0.5,High,2026-03-26T15:45:31.347020
191,Poor,0.48,0.39,0.33,0.8,High,2026-03-26T15:45:31.347022
192,Good,0.75,0.86,0.5,0.53,Medium,2026-03-26T15:45:31.347025
193,Poor,0.77,0.29,0.27,0.95,High,2026-03-26T15:45:31.347027
194,Good,0.85,0.6,0.78,0.74,Medium,2026-03-26T15:45:31.347030
195,Poor,1.0,0.36,0.36,0.81,High,2026-03-26T15:45:31.347032
196,Poor,0.65,0.29,0.21,0.71,High,2026-03-26T15:45:31.347035
197,Good,0.94,0.79,0.74,0.59,Medium,2026-03-26T15:45:31.347038
198,Good,0.59,0.72,0.29,0.92,Medium,2026-03-26T15:45:31.347040
199,Good,0.56,0.75,0.33,0.47,High,2026-03-26T15:45:31.347043
200,Poor,0.65,0.23,0.18,0.99,High,2026-03-26T15:45:31.347045
201,Poor,0.96,0.3,0.33,0.56,High,2026-03-26T15:45:31.347048
202,Good,0.99,0.56,0.84,0.85,Medium,2026-03-26T15:45:31.347050
203,Poor,0.81,0.34,0.23,0.82,High,2026-03-26T15:45:31.347053
204,Poor,0.51,0.33,0.23,0.96,High,2026-03-26T15:45:31.347056
205,Good,0.67,0.85,0.82,0.93,Medium,2026-03-26T15:45:31.347058
206,Good,0.84,0.7,0.49,0.81,Medium,2026-03-26T15:45:31.347061
207,Poor,0.5,0.18,0.33,0.7,High,2026-03-26T15:45:31.347063
208,Good,0.82,0.6,0.29,0.7,High,2026-03-26T15:45:31.347066
209,Good,0.95,0.62,0.57,0.62,Medium,2026-03-26T15:45:31.347068
210,Good,0.53,0.64,0.58,0.47,High,2026-03-26T15:45:31.347071
211,Good,0.64,0.86,0.85,0.5,Medium,2026-03-26T15:45:31.347073
212,Good,0.41,0.88,0.76,0.81,Medium,2026-03-26T15:45:31.347076
213,Poor,0.57,0.3,0.28,0.48,High,2026-03-26T15:45:31.347079
214,Good,0.66,0.37,0.63,0.78,High,2026-03-26T15:45:31.347081
215,Poor,1.0,0.27,0.26,0.43,High,2026-03-26T15:45:31.347084
216,Good,0.91,0.59,0.62,0.99,Medium,2026-03-26T15:45:31.347086
217,Good,0.86,0.89,0.53,0.98,Medium,2026-03-26T15:45:31.347089
218,Good,0.99,0.49,0.3,0.96,High,2026-03-26T15:45:31.347092
219,Poor,0.49,0.18,0.24,0.42,High,2026-03-26T15:45:31.347094
220,Good,0.42,0.88,0.33,0.46,High,2026-03-26T15:45:31.347097
221,Good,0.91,0.44,0.87,0.88,Medium,2026-03-26T15:45:31.347099
222,Poor,0.49,0.24,0.26,0.96,High,2026-03-26T15:45:31.347102
223,Good,0.51,0.57,0.27,0.88,High,2026-03-26T15:45:31.347104
224,Poor,0.67,0.31,0.18,0.71,High,2026-03-26T15:45:31.347107
225,Good,0.74,0.7,0.6,0.55,Medium,2026-03-26T15:45:31.347110
226,Poor,0.77,0.24,0.32,0.7,High,2026-03-26T15:45:31.347112
227,Poor,0.9,0.35,0.14,0.47,High,2026-03-26T15:45:31.347115
228,Good,0.48,0.8,0.73,0.96,Medium,2026-03-26T15:45:31.347117
229,Good,0.71,0.82,0.36,0.97,Medium,2026-03-26T15:45:31.347120
230,Poor,0.77,0.36,0.39,0.41,High,2026-03-26T15:45:31.347122
231,Poor,0.95,0.37,0.24,0.55,High,2026-03-26T15:45:31.347125
232,Good,0.83,0.52,0.59,0.94,Medium,2026-03-26T15:45:31.347127
233,Good,0.69,0.46,0.44,0.63,High,2026-03-26T15:45:31.347130
234,Good,0.68,0.47,0.54,0.69,High,2026-03-26T15:45:31.347133
235,Good,0.75,0.42,0.7,0.4,High,2026-03-26T15:45:31.347135
236,Poor,0.63,0.36,0.27,0.78,High,2026-03-26T15:45:31.347138
237,Poor,0.73,0.2,0.29,0.61,High,2026-03-26T15:45:31.347140
238,Good,0.84,0.67,0.68,0.8,Medium,2026-03-26T15:45:31.347143
239,Good,0.48,0.8,0.62,0.95,Medium,2026-03-26T15:45:31.347146
240,Poor,0.69,0.22,0.26,0.82,High,2026-03-26T15:45:31.347148
241,Good,0.67,0.4,0.59,0.41,High,2026-03-26T15:45:31.347151
242,Good,0.53,0.46,0.8,0.57,Medium,2026-03-26T15:45:31.347153
243,Good,0.95,0.63,0.87,0.61,Medium,2026-03-26T15:45:31.347156
244,Poor,0.91,0.23,0.37,0.77,High,2026-03-26T15:45:31.347158
245,Good,0.47,0.51,0.33,0.96,High,2026-03-26T15:45:31.347161
246,Good,0.45,0.76,0.79,0.91,Medium,2026-03-26T15:45:31.347163
247,Good,0.86,0.6,0.33,0.52,High,2026-03-26T15:45:31.347166
248,Poor,0.49,0.2,0.26,0.82,High,2026-03-26T15:45:31.347168
249,Good,0.55,0.82,0.29,0.62,High,2026-03-26T15:45:31.347171
250,Good,0.49,0.67,0.79,0.62,Medium,2026-03-26T15:45:31.347175
251,Good,0.82,0.53,0.77,0.76,Medium,2026-03-26T15:45:31.347178
252,Good,0.73,0.57,0.4,0.67,High,2026-03-26T15:45:31.347181
253,Good,0.64,0.47,0.82,0.78,Medium,2026-03-26T15:45:31.347183
254,Good,0.58,0.51,0.46,0.66,High,2026-03-26T15:45:31.347186
255,Good,0.41,0.69,0.27,0.51,High,2026-03-26T15:45:31.347189
256,Poor,0.61,0.3,0.15,0.64,High,2026-03-26T15:45:31.347191
257,Poor,0.92,0.25,0.32,0.96,High,2026-03-26T15:45:31.347194
258,Poor,0.97,0.38,0.17,0.97,High,2026-03-26T15:45:31.347197
259,Poor,0.49,0.21,0.32,0.53,High,2026-03-26T15:45:31.347199
260,Good,0.74,0.42,0.28,0.45,High,2026-03-26T15:45:31.347202
261,Poor,0.7,0.21,0.3,0.78,High,2026-03-26T15:45:31.347204
262,Poor,0.77,0.19,0.27,0.74,High,2026-03-26T15:45:31.347207
263,Good,0.68,0.45,0.71,0.73,Medium,2026-03-26T15:45:31.347210
264,Good,0.73,0.88,0.6,0.97,Medium,2026-03-26T15:45:31.347212
265,Good,0.91,0.37,0.37,0.79,High,2026-03-26T15:45:31.347216
266,Good,0.92,0.38,0.77,0.75,Medium,2026-03-26T15:45:31.347219
267,Good,0.46,0.59,0.82,0.95,Medium,2026-03-26T15:45:31.347221
268,Good,0.48,0.48,0.7,0.54,High,2026-03-26T15:45:31.347224
269,Good,0.52,0.74,0.69,0.57,Medium,2026-03-26T15:45:31.347226
270,Good,0.74,0.75,0.68,0.41,Medium,2026-03-26T15:45:31.347229
271,Poor,0.66,0.25,0.2,0.57,High,2026-03-26T15:45:31.347232
272,Good,0.88,0.86,0.38,0.92,Medium,2026-03-26T15:45:31.347234
273,Good,0.93,0.81,0.53,0.71,Medium,2026-03-26T15:45:31.347237
274,Poor,0.92,0.35,0.23,0.43,High,2026-03-26T15:45:31.347239
275,Good,0.82,0.84,0.5,0.45,High,2026-03-26T15:45:31.347242
276,Poor,0.61,0.28,0.25,0.61,High,2026-03-26T15:45:31.347245
277,Good,0.88,0.63,0.57,0.68,Medium,2026-03-26T15:45:31.347247
278,Good,0.7,0.49,0.4,0.92,Medium,2026-03-26T15:45:31.347250
279,Good,0.5,0.66,0.32,0.41,High,2026-03-26T15:45:31.347252
280,Poor,0.44,0.24,0.3,0.41,High,2026-03-26T15:45:31.347255
281,Poor,0.63,0.18,0.2,0.69,High,2026-03-26T15:45:31.347257
282,Poor,0.86,0.2,0.37,0.76,High,2026-03-26T15:45:31.347260
283,Good,0.95,0.83,0.75,0.91,Low,2026-03-26T15:45:31.347263
284,Good,0.9,0.68,0.39,0.84,Medium,2026-03-26T15:45:31.347266
285,Good,0.92,0.64,0.51,0.5,High,2026-03-26T15:45:31.347269
286,Good,0.55,0.61,0.55,0.51,High,2026-03-26T15:45:31.347272
287,Good,0.77,0.6,0.47,0.62,High,2026-03-26T15:45:31.347274
288,Poor,0.97,0.36,0.2,0.51,High,2026-03-26T15:45:31.347277
289,Good,0.72,0.61,0.32,0.81,High,2026-03-26T15:45:31.347279
290,Poor,0.94,0.27,0.33,0.63,High,2026-03-26T15:45:31.347282
291,Good,0.84,0.71,0.39,0.49,High,2026-03-26T15:45:31.347285
292,Poor,0.9,0.18,0.25,0.95,High,2026-03-26T15:45:31.347287
293,Poor,0.56,0.3,0.34,0.5,High,2026-03-26T15:45:31.347290
294,Good,0.96,0.65,0.65,0.84,Medium,2026-03-26T15:45:31.347292
295,Good,0.51,0.75,0.7,0.95,Medium,2026-03-26T15:45:31.347295
296,Good,0.89,0.85,0.63,0.78,Medium,2026-03-26T15:45:31.347298
297,Good,0.73,0.61,0.37,0.85,Medium,2026-03-26T15:45:31.347300
298,Poor,0.51,0.39,0.27,0.91,High,2026-03-26T15:45:31.347303
299,Good,0.76,0.37,0.82,0.88,Medium,2026-03-26T15:45:31.347305
300,Good,0.41,0.43,0.48,0.92,Medium,2026-03-26T15:45:31.347308
301,Good,0.87,0.42,0.57,0.98,Medium,2026-03-26T15:45:31.347310
302,Good,0.64,0.8,0.31,0.52,High,2026-03-26T15:45:31.347313
303,Good,0.41,0.42,0.71,0.92,Medium,2026-03-26T15:45:31.347316
304,Good,0.67,0.48,0.52,0.98,Medium,2026-03-26T15:45:31.347318
305,Good,0.8,0.43,0.82,0.46,High,2026-03-26T15:45:31.347321
306,Good,0.8,0.77,0.6,0.76,Medium,2026-03-26T15:45:31.347323
307,Good,0.44,0.39,0.84,0.78,Medium,2026-03-26T15:45:31.347326
308,Poor,0.71,0.3,0.39,0.98,High,2026-03-26T15:45:31.347328
309,Poor,0.76,0.23,0.2,0.53,High,2026-03-26T15:45:31.347331
310,Good,0.82,0.89,0.37,0.58,Medium,2026-03-26T15:45:31.347334
311,Poor,0.99,0.3,0.3,0.89,High,2026-03-26T15:45:31.347336
312,Poor,0.51,0.28,0.2,0.69,High,2026-03-26T15:45:31.347339
313,Poor,0.97,0.27,0.25,0.53,High,2026-03-26T15:45:31.347342
314,Good,0.95,0.42,0.62,0.81,Medium,2026-03-26T15:45:31.347344
315,Good,0.84,0.86,0.77,0.66,Medium,2026-03-26T15:45:31.347347
316,Poor,0.92,0.17,0.18,0.97,High,2026-03-26T15:45:31.347350
317,Poor,0.46,0.3,0.31,0.62,High,2026-03-26T15:45:31.347352
318,Good,0.94,0.63,0.29,0.61,High,2026-03-26T15:45:31.347355
319,Good,0.59,0.48,0.51,0.95,Medium,2026-03-26T15:45:31.347357
320,Good,0.81,0.43,0.53,0.43,High,2026-03-26T15:45:31.347360
321,Good,0.73,0.44,0.85,0.7,Medium,2026-03-26T15:45:31.347362
322,Good,0.41,0.66,0.81,0.65,Medium,2026-03-26T15:45:31.347365
323,Good,0.72,0.62,0.29,0.99,Medium,2026-03-26T15:45:31.347367
324,Poor,0.65,0.18,0.15,0.98,High,2026-03-26T15:45:31.347370
325,Poor,0.78,0.33,0.18,0.81,High,2026-03-26T15:45:31.347373
326,Good,0.66,0.36,0.52,0.97,Medium,2026-03-26T15:45:31.347375
327,Poor,0.67,0.31,0.16,0.5,High,2026-03-26T15:45:31.347378
328,Good,0.63,0.71,0.43,0.72,Medium,2026-03-26T15:45:31.347380
329,Good,0.98,0.41,0.36,0.58,High,2026-03-26T15:45:31.347383
330,Good,0.96,0.48,0.36,0.44,High,2026-03-26T15:45:31.347385
331,Poor,0.63,0.21,0.17,0.45,High,2026-03-26T15:45:31.347388
332,Good,0.69,0.6,0.61,0.66,Medium,2026-03-26T15:45:31.347390
333,Poor,0.73,0.33,0.19,0.98,High,2026-03-26T15:45:31.347393
334,Good,0.95,0.82,0.71,0.56,Medium,2026-03-26T15:45:31.347396
335,Poor,0.68,0.25,0.31,0.48,High,2026-03-26T15:45:31.347398
336,Good,0.82,0.71,0.49,0.62,Medium,2026-03-26T15:45:31.347401
337,Good,0.91,0.5,0.33,0.54,High,2026-03-26T15:45:31.347403
338,Poor,0.44,0.23,0.35,0.46,High,2026-03-26T15:45:31.347406
339,Good,0.77,0.44,0.84,0.68,Medium,2026-03-26T15:45:31.347408
340,Good,0.42,0.43,0.37,0.61,High,2026-03-26T15:45:31.347411
341,Good,0.76,0.39,0.29,0.46,High,2026-03-26T15:45:31.347413
342,Good,0.53,0.66,0.67,0.56,Medium,2026-03-26T15:45:31.347416
343,Good,0.5,0.4,0.61,0.43,High,2026-03-26T15:45:31.347424
344,Good,0.41,0.65,0.48,0.48,High,2026-03-26T15:45:31.347426
345,Good,0.93,0.68,0.51,0.71,Medium,2026-03-26T15:45:31.347429
346,Poor,0.66,0.23,0.33,0.6,High,2026-03-26T15:45:31.347431
